"StudentID","ProgramName","OrderTypeDescription","OrderDate"
u050315,Foundation Programme,Withdraw (Student Initiated),2025-09-03
u050343,Foundation Programme,Withdraw (Student Initiated),2025-09-03
u050118,Foundation Programme,Withdraw (Student Initiated),2025-09-03
u050074,Foundation Programme,Withdraw (Student Initiated),2025-09-03
u050381,Foundation Programme,Withdraw (Student Initiated),2025-09-03
u050449,Foundation Programme,Withdraw (Student Initiated),2025-09-04
u050284,Foundation Programme,Withdraw (Student Initiated),2025-09-05
u050342,Foundation Programme,Withdraw (Student Initiated),2025-09-05
u060305,Foundation Programme,Withdraw (Student Initiated),2025-09-05
u060343,Foundation Programme,Withdraw (Student Initiated),2025-09-05
u010362,BSc Banking and Finance,Reinstated,2025-09-08
u010197,BBA with Project Management,Academic Leave Terminated,2025-09-08
u010197,BBA with E-Business and Digital Marketing,Academic Leave Terminated,2025-09-08
u010358,BBA with Project Management,Reinstated,2025-09-08
u030160,BBA with Project Management,Reinstated,2025-09-08
u010013,BBA with Project Management,Reinstated,2025-09-08
u010089,BBA with Project Management,Reinstated,2025-09-08
u010203,BSc Accounting and Finance,Reinstated,2025-09-08
u030191,BSc Accounting and Finance,Withdraw (Student Initiated),2025-09-10
u010362,BSc Banking and Finance,Withdraw (Student Initiated),2025-09-10
u050334,Foundation Programme,Withdraw (Student Initiated),2025-09-10
u050317,Foundation Programme,Withdraw (Student Initiated),2025-09-10
u050317,BBA with Project Management,Withdraw (Student Initiated),2025-09-10
u060130,Foundation Programme,Withdraw (Student Initiated),2025-09-10
u060340,Foundation Programme,Withdraw (Student Initiated),2025-09-10
u060494,Foundation Programme,Withdraw (Student Initiated),2025-09-10
u060443,Foundation Programme,Withdraw (Student Initiated),2025-09-17
u050008,Foundation Programme,Withdraw (Student Initiated),2025-09-17
u050008,BBA with Project Management,Withdraw (Student Initiated),2025-09-17
u040040,Foundation Programme,Withdraw (Student Initiated),2025-09-17
u050444,Foundation Programme,Withdraw (Student Initiated),2025-09-17
u050345,Foundation Programme,Withdraw (Student Initiated),2025-09-17
u050345,BBA with E-Business and Digital Marketing,Withdraw (Student Initiated),2025-09-17
