"StudentID","ProgramName","ModuleCode","ModuleName","TotalMark","TotalGrade"
g020003,MSc in Accounting and Finance,ACC611 ,Capstone MSc Project / Dissertation (ACC),60.00,B 
g020004,MSc in Accounting and Finance,ACC611 ,Capstone MSc Project / Dissertation (ACC),70.00,A 
g020005,MSc in Accounting and Finance,ACC611 ,Capstone MSc Project / Dissertation (ACC),75.00,A 
g020007,MSc in Accounting and Finance,ACC611 ,Capstone MSc Project / Dissertation (ACC),50.00,C 
g020008,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),0.00,D 
g020009,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),52.00,C 
g020010,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),52.00,C 
g020011,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),50.00,C 
g020012,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),26.00,D 
g020013,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),67.00,B 
g020014,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),67.00,B 
g020015,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),73.00,A 
g020016,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),70.00,A 
g020018,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),70.00,A 
g020019,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),60.00,B 
g020020,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),50.00,C 
g020021,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),50.00,C 
g020022,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),40.00,D 
g020024,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),70.00,A 
g020025,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),0.00,D 
g020026,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),52.00,C 
g020027,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),32.00,D 
g020028,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),65.00,B 
g020029,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),74.00,A 
g020030,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),72.00,A 
g020031,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),67.00,B 
g020032,MSc in International Management,MGT611 ,Capstone MSc Project / Dissertation (MGT),53.00,C 
